TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-04,2025-04-04,FO,NSE,STF,57466,,NAUKRI,,2025-05-29,2025-05-29,,,NAUKRI25MAYFUT,6727.6,6731.35,6398.0,6457.3,6460.05,6803.6,6396.6,6457.3,24975,11025,362,176146938.75,324,F1,75,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73501,,NAUKRI,,2025-04-24,2025-04-24,,,NAUKRI25APRFUT,6725.0,6725.0,6346.9,6418.4,6421.45,6761.65,6396.6,6418.4,1606575,76350,6390,3106157681.25,5348,F1,75,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73505,,NCC,,2025-04-24,2025-04-24,,,NCC25APRFUT,214.15,214.9,204.81,206.75,206.92,215.6,206.85,206.75,16697425,-152650,2434,899218159.5,1977,F1,1775,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57468,,NCC,,2025-05-29,2025-05-29,,,NCC25MAYFUT,213.63,214.2,205.03,206.24,206.37,215.08,206.85,206.25,759700,33725,144,53158694.0,139,F1,1775,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57066,,NCC,,2025-06-26,2025-06-26,,,NCC25JUNFUT,211.11,211.11,205.01,206.23,206.66,215.29,206.85,206.23,104725,51475,36,13257883.25,33,F1,1775,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73517,,PEL,,2025-04-24,2025-04-24,,,PEL25APRFUT,1000.0,1008.2,960.5,963.95,967.15,1011.9,961.5,963.95,7291500,1500,2045,1500325875.0,1722,F1,750,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57487,,PEL,,2025-05-29,2025-05-29,,,PEL25MAYFUT,1010.45,1011.1,967.2,969.85,973.3,1018.1,961.5,969.85,111000,31500,118,87227812.5,102,F1,750,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57081,,PEL,,2025-06-26,2025-06-26,,,PEL25JUNFUT,997.75,997.75,975.0,975.0,975.0,1006.6,961.5,975.0,10500,2250,3,2225812.5,3,F1,750,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73534,,RAMCOCEM,,2025-04-24,2025-04-24,,,RAMCOCEM25APRFUT,945.8,960.0,937.15,944.5,944.0,945.05,941.55,944.5,4906200,-16150,2889,2322384832.5,2522,F1,850,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57504,,RAMCOCEM,,2025-05-29,2025-05-29,,,RAMCOCEM25MAYFUT,948.1,962.0,941.1,945.55,944.3,948.25,941.55,945.55,107950,0,142,114418330.0,113,F1,850,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57104,,RECLTD,,2025-06-26,2025-06-26,,,RECLTD25JUNFUT,428.4,428.4,405.35,407.65,408.8,431.2,403.4,407.65,275000,76000,226,93850900.0,211,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73536,,RECLTD,,2025-04-24,2025-04-24,,,RECLTD25APRFUT,424.5,426.35,401.8,404.5,405.25,427.5,403.4,404.5,56502000,-529000,14935,6127894300.0,10815,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57506,,RECLTD,,2025-05-29,2025-05-29,,,RECLTD25MAYFUT,428.6,428.6,404.6,407.15,407.95,430.45,403.4,407.15,2605000,462000,2149,886359900.0,1521,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73562,,SBICARD,,2025-04-24,2025-04-24,,,SBICARD25APRFUT,853.6,854.25,838.05,850.95,852.3,853.65,848.0,850.95,14548800,-356000,5575,3770903480.0,4564,F1,800,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57111,,SBICARD,,2025-06-26,2025-06-26,,,SBICARD25JUNFUT,855.0,855.0,842.0,854.4,854.4,867.75,848.0,854.4,8800,800,11,7462320.0,11,F1,800,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57513,,SBICARD,,2025-05-29,2025-05-29,,,SBICARD25MAYFUT,843.8,855.0,842.0,852.5,853.3,855.65,848.0,852.5,183200,4000,96,65105760.0,90,F1,800,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57121,,SJVN,,2025-06-26,2025-06-26,,,SJVN25JUNFUT,92.5,92.5,89.0,90.0,90.0,93.7,92.41,90.0,382725,80325,31,13260618.0,30,F1,4725,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57519,,SJVN,,2025-05-29,2025-05-29,,,SJVN25MAYFUT,94.28,94.28,89.7,90.24,90.31,94.53,92.41,90.24,3264975,1143450,443,190466734.5,304,F1,4725,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73568,,SJVN,,2025-04-24,2025-04-24,,,SJVN25APRFUT,96.08,96.08,91.05,91.73,91.97,95.89,92.41,91.73,21276675,-510300,1769,772861587.75,1463,F1,4725,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57536,,TATATECH,,2025-04-24,2025-04-24,,,TATATECH25APRFUT,665.0,668.75,623.15,629.0,632.1,665.55,648.7,629.0,7707000,275800,4833,2154387060.0,3917,F1,700,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57537,,TATATECH,,2025-05-29,2025-05-29,,,TATATECH25MAYFUT,656.5,660.0,613.1,619.1,621.5,656.5,648.7,619.1,1355900,532000,1456,639362325.0,1012,F1,700,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57249,,TATATECH,,2025-06-26,2025-06-26,,,TATATECH25JUNFUT,668.1,668.1,607.5,611.55,610.85,648.65,648.7,611.55,206500,85400,181,78510495.0,179,F1,700,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57255,,TORNTPHARM,,2025-06-26,2025-06-26,,,TORNTPHARM25JUNFUT,3250.0,3250.0,3250.0,3250.0,3250.0,3292.45,3286.5,3335.45,250,250,1,812500.0,1,F1,250,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73633,,TORNTPHARM,,2025-04-24,2025-04-24,,,TORNTPHARM25APRFUT,3261.7,3302.4,3183.6,3288.4,3297.6,3259.9,3286.5,3288.4,2226750,2000,2586,2095758525.0,2350,F1,250,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57547,,TORNTPHARM,,2025-05-29,2025-05-29,,,TORNTPHARM25MAYFUT,3275.0,3315.0,3203.3,3306.95,3315.0,3269.7,3286.5,3306.95,8250,5250,68,55384937.5,68,F1,250,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57273,,VBL,,2025-06-26,2025-06-26,,,VBL25JUNFUT,551.0,551.0,537.85,542.85,542.8,551.1,535.45,542.85,84875,46375,87,41222168.75,78,F1,875,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57559,,VBL,,2025-05-29,2025-05-29,,,VBL25MAYFUT,548.05,548.4,534.2,538.75,539.3,547.95,535.45,538.75,466375,21000,138,65070687.5,125,F1,875,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73678,,VBL,,2025-04-24,2025-04-24,,,VBL25APRFUT,546.6,546.6,531.35,536.05,536.8,545.3,535.45,536.05,33457375,-233625,3016,1414216956.25,2450,F1,875,,,,,
