ABREL,BHARTIARTL,ALKEM,COCHINSHIP,BPCL,COLPAL,MARUTI,KOTAKBANK,CESC,ICICIPRULI,NIFTY FMCG,TECHM,ZEEL,NATIONALUM,GLENMARK,PSB,RBLBANK,RAYMOND,AUBANK,APARINDS,BSOFT,ANGELONE,AFFLE,ABSLAMC,AXISBANK,ALKEM,ICICIPRULI,HINDPETRO,EICHERMOT,ONGC,CUMMINSIND,COLPAL,M&M,IRCTC,HCLTECH,POWERGRID,INDUSTOWER,CUMMINSIND,INDUSINDBK,DRREDDY,BHARTIARTL,AXISBANK,DRREDDY,HAL,GRASIM,HCLTECH
ABSLAMC,CIPLA,AMBUJACEM,DIVISLAB,BRITANNIA,CONCOR,MOTHERSON,NIFTY BANK,CGPOWER,JIOFIN,PATANJALI,WIPRO,,NIFTY METAL,GRANULES,SBIN,YESBANK,SOBHA,AUROPHARMA,APLAPOLLO,CAMS,ARE&M,AIIL,ACC,BAJAJ-AUTO,AMBUJACEM,JIOFIN,IOC,ETERNAL,POWERGRID,DLF,CRISIL,NIFTY GROWTH SECTORS 15,IRFC,HDFCBANK,RELIANCE,LUPIN,CYIENT,INFY,EICHERMOT,CIPLA,BAJAJ-AUTO,HCLTECH,HAVELLS,HAVELLS,INDHOTEL
ACC,COALINDIA,ANGELONE,DIXON,CANBK,CUMMINSIND,MRF,PNB,COALINDIA,KOTAKBANK,RADICO,,,NMDC,IPCALAB,UCOBANK,,,BANDHANBNK,APOLLOTYRE,CASTROLIND,ASTERDM,AKUMS,ACE,BAJAJFINSV,APLAPOLLO,KOTAKBANK,JINDALSTEL,GODREJCP,SJVN,GAIL,CUMMINSIND,PERSISTENT,NHPC,HDFCLIFE,SBIN,NIFTY MIDCAP LIQUID 15,GAIL,ITC,GODREJCP,COALINDIA,BAJAJFINSV,HDFCBANK,HCLTECH,HCLTECH,INFY
ACE,DRREDDY,APLAPOLLO,ETERNAL,CGPOWER,DIXON,NIFTY AUTO,SBIN,GAIL,LICHSGFIN,TATACONSUM,,,SAIL,JBCHEPHARM,UNIONBANK,,,BANKINDIA,ASHOKLEY,CDSL,ATUL,ALIVUS,ACMESOLAR,BAJAJHFL,APOLLOHOSP,LICHSGFIN,JSWENERGY,HAVELLS,,GODREJPROP,ESCORTS,SUNPHARMA,NIFTY PSE,ICICIBANK,SHRIRAMFIN,PERSISTENT,GICRE,MARUTI,HAL,DRREDDY,BAJAJHFL,HEROMOTOCO,HDFCAMC,ICICIBANK,KALYANKJIL
ACMESOLAR,EICHERMOT,APOLLOHOSP,FORTIS,CHOLAFIN,FEDERALBNK,TATAMOTORS,,GSPL,MUTHOOTFIN,UBL,,,TATASTEEL,LAURUSLABS,,,,BDL,ASTRAL,CESC,BATAINDIA,ALKYLAMINE,AEGISLOG,BAJAJHLDNG,APOLLOTYRE,MUTHOOTFIN,JSWSTEEL,HEROMOTOCO,,GRASIM,GLAND,TECHM,NMDC,INDIGO,TATAMOTORS,POLICYBZR,HCLTECH,NIFTY50 VALUE 20,HAVELLS,EICHERMOT,BAJAJHLDNG,HINDUNILVR,HEROMOTOCO,ICICIGI,LUPIN
ADANIENSOL,ETERNAL,ASHOKLEY,FSL,DABUR,GMRAIRPORT,TIINDIA,,GUJGASLTD,NIFTY FIN SERVICE,UNITDSPR,,,VEDL,LUPIN,,,,BHARATFORG,ATGL,CROMPTON,BEML,ALOKINDS,AFCONS,BAJFINANCE,ASHOKLEY,NIFTY FINANCIAL SERVICES 25/50,NHPC,HINDUNILVR,,HINDPETRO,HINDUNILVR,TVSMOTOR,NTPC,INDUSINDBK,TATASTEEL,POLYCAB,HDFCAMC,NTPC,HCLTECH,ETERNAL,BAJFINANCE,ICICIBANK,HINDUNILVR,INFY,M&M
ADANIENT,GRASIM,ASIANPAINT,GLENMARK,DIVISLAB,GODREJPROP,TVSMOTOR,,GVT&D,PFC,VBL,,,WELCORP,MANKIND,,,,BHARTIHEXA,AUBANK,CYIENT,BLS,AMBER,AFFLE,BANKBARODA,ASIANPAINT,PFC,NIFTY COMMODITIES,INDHOTEL,,INDHOTEL,HONAUT,WIPRO,OIL,INFY,TRENT,YESBANK,HEROMOTOCO,ONGC,HDFCBANK,GRASIM,BANKBARODA,INFY,IGL,ITC,MOTHERSON
ADANIGREEN,HCLTECH,ASTRAL,GVT&D,DLF,HDFCAMC,,,HINDPETRO,RECLTD,,,,,NATCOPHARM,,,,BHEL,AUROPHARMA,DELHIVERY,BRIGADE,ANANDRATHI,AIAENG,BEL,ASTRAL,RECLTD,NMDC,INDIGO,,INDIGO,HYUNDAI,,ONGC,JIOFIN,,,HINDPETRO,POWERGRID,HEROMOTOCO,HCLTECH,BEL,ITC,INFY,LUPIN,NAUKRI
ADANIPORTS,HDFCBANK,ATGL,HAL,DMART,HINDPETRO,,,IGL,SBICARD,,,,,NIFTY PHARMA,,,,BIOCON,AWL,FIVESTAR,BSOFT,ANANTRAJ,AIIL,BHARTIARTL,ATGL,SBICARD,NTPC,ITC,,INDUSTOWER,JBCHEPHARM,,PFC,KOTAKBANK,,,HINDUNILVR,SBIN,HINDUNILVR,HDFCBANK,BHARTIARTL,KOTAKBANK,IRCTC,MRF,NIFTY200 MOMENTUM 30
ADANIPOWER,HDFCLIFE,AUBANK,HSCL,GAIL,IDEA,,,INOXWIND,SBILIFE,,,,,SUNPHARMA,,,,BSE,BALKRISIND,FSL,CAMS,ANGELONE,AJANTPHARM,BOSCHLTD,AUBANK,SBILIFE,OIL,M&M,,IOC,LINDEINDIA,,POWERGRID,LTIM,,,HINDZINC,TATAMOTORS,INFY,HDFCLIFE,BOSCHLTD,LT,ITC,NAUKRI,OFSS
